AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,
,,,,,,,6.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,
,,,,,,,6.0,,,,,,,2.0,,,1.0,,2.0,1.0,2.0,,,1.0,,,,,,,,
,,,,,,,1.0,,,1.0,,2.0,,,,,,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,
1.0,,,,,,,3.0,,,1.0,,,,,,,5.0,,8.0,,4.0,1.0,3.0,,,,,,,,3.0,
,,,,,,1.0,,,,,1.0,,,3.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,
,2.0,,,,,,3.0,,1.0,,3.0,,,1.0,,,,,5.0,,,,2.0,1.0,,,1.0,1.0,,2.0,3.0,
3.0,,,,,1.0,,7.0,,,,,2.0,2.0,16.0,,,,,,,2.0,2.0,,4.0,1.0,1.0,,,,,5.0,
,2.0,,,,,1.0,,,,1.0,,,,6.0,,2.0,4.0,,10.0,,3.0,2.0,5.0,,,,1.0,,,2.0,,
,4.0,,1.0,,,,14.0,2.0,1.0,1.0,,,1.0,4.0,,,,1.0,3.0,,2.0,3.0,1.0,2.0,,,2.0,1.0,,3.0,1.0,1.0
,3.0,,,1.0,,3.0,11.0,7.0,,,,,2.0,9.0,3.0,,8.0,,3.0,1.0,,,,3.0,1.0,2.0,1.0,1.0,,,5.0,1.0
2.0,2.0,,1.0,1.0,,,4.0,2.0,,,3.0,1.0,2.0,5.0,4.0,,,,5.0,1.0,,2.0,9.0,4.0,,,1.0,1.0,,,,1.0
,,,,,,1.0,6.0,,,,5.0,1.0,,,1.0,,,,12.0,,6.0,,1.0,,,,,,,,5.0,
6.0,1.0,,3.0,,2.0,,16.0,,,,7.0,1.0,,,2.0,,4.0,3.0,,3.0,12.0,2.0,,1.0,,,,1.0,1.0,,5.0,
1.0,5.0,2.0,,,,,1.0,1.0,,,4.0,,5.0,19.0,1.0,2.0,20.0,,5.0,1.0,11.0,3.0,7.0,1.0,4.0,3.0,11.0,,,,3.0,1.0
6.0,1.0,,2.0,,3.0,,25.0,1.0,,2.0,8.0,,,13.0,5.0,,24.0,1.0,7.0,3.0,6.0,2.0,,1.0,1.0,1.0,4.0,,3.0,10.0,4.0,
,,,,1.0,,,70.0,1.0,,,6.0,3.0,,5.0,1.0,,15.0,,,1.0,1.0,2.0,4.0,1.0,5.0,2.0,6.0,,,6.0,2.0,
5.0,3.0,,2.0,,4.0,,19.0,17.0,,,,3.0,5.0,1.0,,2.0,34.0,,3.0,2.0,14.0,1.0,5.0,4.0,5.0,4.0,6.0,1.0,,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
