Date_Confirmed,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-04-12,784,1734,822,120,343,414,7682,1919,134,361,1774,527,455,3435,3283,642,379,210,3601,422,1302,527,908,933,1194,678,1203,607,431,1498,716,305
2020-04-13,37,178,140,44,13,68,948,216,7,24,103,41,19,179,258,70,42,21,273,19,151,31,59,101,143,47,46,70,53,131,40,15
2020-04-14,133,243,111,48,47,67,1319,183,14,23,137,55,32,199,464,73,52,21,333,36,129,59,55,104,147,65,97,93,94,90,84,23
2020-04-15,75,285,85,30,40,102,1351,197,6,19,159,56,22,250,455,65,44,17,509,31,141,41,71,93,197,77,89,133,103,146,66,32
2020-04-16,72,284,80,35,54,155,1332,332,4,48,149,44,17,248,424,93,52,18,654,28,143,47,45,79,156,68,81,212,42,116,60,39
2020-04-17,85,284,79,28,42,109,1909,295,25,34,293,78,17,319,552,260,58,25,302,35,118,42,80,105,235,81,102,165,77,133,86,35
2020-04-18,24,144,14,27,36,84,785,126,5,12,193,24,16,171,188,143,21,11,190,22,66,20,80,50,97,37,102,213,43,34,139,34
2020-04-19,25,134,80,12,27,48,951,130,5,10,222,40,35,153,326,83,12,8,40,31,123,28,25,55,138,51,146,144,39,137,37,3
2020-04-20,8,156,40,21,21,32,777,334,2,54,162,32,28,216,212,115,31,14,193,20,51,21,86,45,99,64,218,106,28,63,75,39
2020-04-21,102,347,92,28,38,54,1005,203,5,40,270,35,47,232,599,162,43,25,188,23,105,33,81,57,98,78,172,145,39,74,52,30
2020-04-22,70,244,67,19,70,121,1654,496,8,77,349,62,62,632,839,109,56,30,383,46,91,46,139,107,198,126,217,191,69,252,62,53
2020-04-23,131,211,15,15,46,80,1439,207,4,37,398,73,30,408,606,136,75,34,393,25,106,25,79,63,122,73,291,199,63,168,118,43
2020-04-24,107,223,25,29,48,151,1496,230,9,33,333,55,70,394,862,150,67,28,279,10,147,28,100,67,155,63,191,209,50,178,73,44
2020-04-25,25,149,52,34,62,137,913,215,28,64,286,34,48,419,838,127,62,31,386,57,157,31,68,102,158,95,257,134,68,151,178,55
2020-04-26,10,171,63,54,42,76,845,187,7,36,245,75,70,206,525,102,62,41,601,41,100,15,95,83,130,86,119,281,67,164,93,52
2020-04-27,130,133,40,32,60,75,1087,215,15,28,228,69,45,389,702,89,56,27,363,60,161,36,171,77,202,96,228,193,55,299,145,57
2020-04-28,202,396,55,38,76,231,1947,222,14,49,420,116,108,464,1287,235,182,58,423,64,203,58,143,107,251,128,274,212,137,228,199,85
2020-04-29,183,380,45,26,82,136,2024,151,14,63,614,107,63,366,1052,179,142,49,418,74,176,63,96,128,209,100,233,329,109,249,158,60
2020-04-30,248,306,64,36,67,213,2171,289,19,59,601,99,78,329,1372,242,110,106,352,52,197,38,182,110,244,118,194,252,83,264,229,72
2020-05-01,207,227,61,38,79,179,1571,338,14,50,718,122,87,455,1248,171,145,41,383,75,227,61,105,144,394,114,315,284,94,190,259,53
2020-05-02,181,161,44,31,72,149,1587,261,13,47,419,56,64,239,1008,182,135,40,299,64,177,37,129,109,202,64,118,215,77,190,162,31
2020-05-03,68,184,32,19,47,170,1728,117,10,63,287,110,40,272,1131,86,57,64,354,43,139,38,77,102,189,111,204,189,58,158,159,31
2020-05-04,109,336,29,31,37,133,2213,211,13,59,270,165,103,455,1632,144,166,55,436,42,181,40,90,96,232,95,186,146,64,313,214,57
2020-05-05,324,526,52,38,97,263,2048,211,9,35,506,160,107,283,1693,182,164,62,330,76,218,37,93,99,341,167,239,194,92,228,193,45
2020-05-06,211,362,49,53,108,182,2669,163,22,164,481,113,104,337,2090,178,152,74,572,66,162,58,118,143,351,152,236,199,82,241,205,61
2020-05-07,173,293,49,50,108,262,3355,195,23,88,551,173,168,407,2956,233,179,106,501,63,271,48,103,157,363,199,416,322,118,323,208,77
2020-05-08,244,416,45,41,116,232,3314,271,40,131,646,113,140,331,2702,297,193,93,416,69,247,58,124,145,240,183,520,211,104,347,212,62
2020-05-09,154,362,38,43,159,160,2324,332,16,82,540,149,87,466,1997,239,183,64,288,50,240,87,123,137,175,232,257,527,117,355,215,47
2020-05-10,68,216,54,54,85,88,1511,212,17,40,343,168,105,202,1306,111,88,41,327,62,163,64,48,189,224,221,280,303,46,181,141,48
2020-05-11,210,172,51,49,70,147,1701,286,17,41,339,162,87,417,1838,119,88,61,460,81,240,89,136,122,220,139,298,152,106,384,161,30
2020-05-12,251,388,78,50,144,263,3000,306,17,114,661,268,135,610,3253,419,197,69,680,75,307,116,127,238,365,234,485,308,110,440,191,54
2020-05-13,277,481,60,66,127,195,2990,405,17,78,640,286,124,489,2468,343,189,66,593,138,304,113,129,250,288,349,382,285,177,314,201,59
2020-05-14,396,421,85,86,193,280,3477,479,39,123,643,192,142,534,2602,380,205,98,861,162,288,141,160,279,369,329,403,354,166,432,261,69
2020-05-15,269,557,62,76,168,347,3873,383,27,125,610,276,201,541,2381,468,182,93,632,170,433,132,139,292,409,307,444,554,200,318,269,70
2020-05-16,100,364,56,57,194,149,2875,469,23,70,574,227,180,551,1582,468,124,75,453,172,335,140,183,266,323,340,454,435,132,462,197,70
2020-05-17,38,238,52,65,156,163,1926,276,30,56,406,187,127,474,1213,295,142,60,579,190,219,112,75,192,266,309,396,274,134,342,150,71
2020-05-18,264,274,30,36,110,162,3497,354,48,121,279,313,191,410,2048,165,76,62,327,304,283,168,131,151,348,195,455,257,109,414,163,58
2020-05-19,255,583,61,68,237,460,4400,693,49,105,836,515,223,482,3149,666,171,99,667,390,713,286,121,203,527,636,405,804,215,723,211,57
2020-05-20,195,439,54,144,252,429,4822,513,49,118,957,397,275,659,3139,552,180,110,796,368,460,284,152,265,528,481,860,936,314,627,306,106
2020-05-21,212,745,93,130,382,460,6010,745,67,210,1068,489,324,795,3465,759,226,155,994,386,815,275,266,385,549,762,813,622,302,763,371,100
