Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CHIAPAS,CIUDAD DE MÉXICO,COAHUILA,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN,MÉXICO,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,VERACRUZ,YUCATÁN
3/14/2020,,,,,16.0,,,,,,,,,,,,,,,,,,
3/15/2020,,,,,17.0,,,,,,,,,,,,,,,,,,
3/16/2020,,,,,20.0,,,,,,,,,,,,,,,,,,
3/18/2020,,,,,23.0,,,,,,,,19.0,,,,,,,,,,
3/19/2020,,,,,30.0,,,,,22.0,,,,,,,,,,,,,
3/20/2020,,,,,31.0,,,,,28.0,,,29.0,,,,,,,,,,
3/21/2020,,,,,45.0,,,,,32.0,,,32.0,,16.0,,,,,,,,
3/22/2020,,,,,56.0,,,,,41.0,,21.0,35.0,,,,,,,,,,19.0
3/23/2020,,,,,60.0,,,,,46.0,,,40.0,,,16.0,21.0,16.0,,,,,
3/24/2020,,,,,66.0,,,,,,,,52.0,,22.0,,22.0,,,,,,24.0
3/25/2020,,,,,82.0,,19.0,,,,,25.0,,,34.0,18.0,,17.0,,,,,29.0
3/26/2020,,19.0,,,83.0,,23.0,,,65.0,,45.0,57.0,,45.0,21.0,29.0,18.0,,,17.0,,32.0
3/27/2020,19.0,20.0,,,108.0,,31.0,,,78.0,16.0,69.0,64.0,,51.0,23.0,,19.0,,,21.0,17.0,36.0
3/28/2020,,,,,178.0,15.0,37.0,,,83.0,17.0,84.0,,,52.0,25.0,33.0,20.0,,,27.0,23.0,38.0
3/29/2020,24.0,23.0,,,197.0,32.0,,,17.0,84.0,,118.0,67.0,,66.0,26.0,38.0,24.0,19.0,,33.0,24.0,41.0
3/30/2020,,27.0,,,206.0,39.0,43.0,,,91.0,,135.0,75.0,,76.0,27.0,43.0,25.0,24.0,17.0,38.0,26.0,46.0
3/31/2020,36.0,35.0,15.0,,234.0,44.0,46.0,15.0,19.0,95.0,21.0,148.0,76.0,,81.0,29.0,47.0,,27.0,,48.0,27.0,49.0
3/6/2020,,,,,,,,,,,,149.0,,,,,,,,,,,
3/7/2020,,,,,235.0,,,,,,,,,,,,,,,,,,
4/1/2020,,37.0,16.0,16.0,298.0,57.0,49.0,17.0,21.0,101.0,24.0,163.0,78.0,22.0,97.0,,51.0,31.0,32.0,18.0,52.0,28.0,52.0
