China,Italy,Spain,United Kingdom,"Korea, South",US,Mexico
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2422.0,2171.0,132.0,5.0,4350.0,112.0,4.0
2430.0,2706.0,185.0,7.0,4958.0,141.0,5.0
2436.0,3385.0,250.0,9.0,5514.0,189.0,5.0
2440.0,4197.0,334.0,12.0,6025.0,252.0,6.0
2443.0,5216.0,470.0,16.0,6474.0,321.0,6.0
2446.0,6309.0,689.0,20.0,6807.0,441.0,6.0
2448.0,7648.0,982.0,25.0,7112.0,603.0,7.0
2450.0,8877.0,1271.0,30.0,7366.0,810.0,8.0
2451.0,10738.0,1961.0,38.0,7564.0,1084.0,8.0
2452.0,12920.0,2803.0,50.0,7713.0,1416.0,11.0
2452.0,15401.0,3820.0,61.0,7835.0,1842.0,16.0
2453.0,18088.0,5087.0,77.0,7943.0,2420.0,23.0
2454.0,21139.0,6524.0,98.0,8058.0,3200.0,33.0
2455.0,24461.0,8185.0,126.0,8152.0,4129.0,46.0
2456.0,28543.0,10426.0,155.0,8252.0,5855.0,61.0
2457.0,32737.0,12595.0,197.0,8348.0,8297.0,82.0
2459.0,37369.0,15306.0,248.0,8450.0,11565.0,108.0
2460.0,42282.0,18302.0,308.0,8564.0,15819.0,138.0
2462.0,47417.0,21901.0,375.0,8667.0,21420.0,175.0
2465.0,52798.0,25921.0,455.0,8770.0,28180.0,216.0
2467.0,58323.0,31007.0,546.0,8873.0,36465.0,261.0
2470.0,63974.0,36696.0,664.0,8970.0,46477.0,312.0
2473.0,69613.0,43169.0,804.0,9067.0,58247.0,372.0
2476.0,75169.0,50006.0,963.0,9164.0,71942.0,445.0
2479.0,80677.0,57341.0,1145.0,9253.0,87318.0,530.0
2482.0,86078.0,64887.0,1349.0,9353.0,104173.0,627.0
2485.0,91309.0,72892.0,1574.0,9460.0,123378.0,731.0
2488.0,96479.0,80692.0,1837.0,9567.0,144463.0,847.0
2491.0,101429.0,88447.0,2127.0,9672.0,167310.0,976.0
2493.0,106191.0,96087.0,2438.0,9776.0,192157.0,1108.0
2495.0,110785.0,103648.0,2765.0,9873.0,218926.0,1247.0
2497.0,115251.0,111011.0,3137.0,9966.0,246950.0,1395.0
2499.0,119652.0,117971.0,3525.0,10055.0,276212.0,1560.0
2501.0,123908.0,124545.0,3920.0,10133.0,306117.0,1752.0
2503.0,128029.0,130845.0,4331.0,10204.0,336928.0,1976.0
2505.0,132084.0,136725.0,4743.0,10268.0,368216.0,2234.0
2507.0,136048.0,142307.0,5209.0,10324.0,399781.0,2510.0
2509.0,139997.0,147572.0,5695.0,10370.0,430858.0,2818.0
2512.0,143913.0,152599.0,6172.0,10409.0,462035.0,3150.0
2514.0,147766.0,157373.0,6656.0,10445.0,492600.0,3510.0
2516.0,151609.0,161745.0,7162.0,10479.0,522624.0,3878.0
2519.0,155285.0,165948.0,7655.0,10508.0,552238.0,4251.0
2521.0,158902.0,170480.0,8152.0,10535.0,581496.0,4632.0
2525.0,162453.0,175133.0,8609.0,10562.0,610521.0,5040.0
2528.0,165832.0,179233.0,9069.0,10586.0,639921.0,5473.0
